level_0,Symbols,Close,High,Low,Open,Volume
2021-09-01,AMZN,3479.0,3527.0,3475.24,3496.396,3629911.0
2021-09-01,GOOGL,2904.31,2925.075,2897.67,2900.0,1096805.0
2021-09-01,FB,382.05,384.33,378.81,379.59,11567163.0
2021-09-01,PFE,45.639,45.857,45.025,45.788,33188906.0
2021-09-01,BNTX,332.5,336.5,326.5,334.25,2632182.0
2021-09-02,AMZN,3463.12,3511.9608,3455.0,3494.76,2925594.0
2021-09-02,GOOGL,2865.74,2910.385,2863.695,2904.32,1617907.0
2021-09-02,FB,375.28,381.75,374.06,381.5,14838274.0
2021-09-02,PFE,46.432,46.462,45.729,46.076,26378892.0
2021-09-02,BNTX,328.53,341.7631,326.66,334.86,2116020.0
2021-09-03,AMZN,3478.05,3482.67,3436.44,3452.0,2578324.0
2021-09-03,GOOGL,2874.79,2883.1,2848.01,2861.61,992718.0
2021-09-03,FB,376.26,377.16,373.11,374.75,7511356.0
2021-09-03,PFE,46.432,46.621,45.94,46.492,21017646.0
2021-09-03,BNTX,334.3,334.31,320.71,328.49,2240824.0
2021-09-07,AMZN,3509.29,3528.09,3476.94,3478.0,2741184.0
2021-09-07,GOOGL,2885.61,2891.3,2872.38,2876.69,1006595.0
2021-09-07,FB,382.18,382.96,373.15,375.88,10798920.0
2021-09-07,PFE,46.343,47.087,46.135,46.581,26467157.0
2021-09-07,BNTX,346.61,347.98,332.2949,334.54,2482234.0
2021-09-08,AMZN,3525.5,3545.63,3495.67,3511.65,3053364.0
2021-09-08,GOOGL,2873.82,2888.0,2860.0,2882.0,917511.0
2021-09-08,FB,377.57,380.87,374.79,380.16,11067166.0
2021-09-08,PFE,46.105,46.383,45.848,46.105,15978664.0
2021-09-08,BNTX,336.24,352.81,335.26,346.21,2354633.0
2021-09-09,AMZN,3484.16,3549.99,3480.37,3526.02,2719241.0
2021-09-09,GOOGL,2870.82,2886.21,2863.55,2876.81,765855.0
2021-09-09,FB,378.0,379.83,376.565,377.64,9098941.0
2021-09-09,PFE,45.629,46.312,45.451,46.066,21885762.0
2021-09-09,BNTX,351.38,353.48,336.68,338.29,3210677.0
2021-09-10,AMZN,3469.15,3508.45,3462.9055,3501.8308,2397269.0
2021-09-10,GOOGL,2817.52,2894.37,2814.755,2884.25,1841967.0
2021-09-10,FB,378.69,383.79,378.26,381.361,11549595.0
2021-09-10,PFE,45.193,45.947,45.114,45.867,20984095.0
2021-09-10,BNTX,349.19,363.3,347.5,360.0,3037842.0
2021-09-13,AMZN,3457.17,3497.96,3438.0001,3482.8,2569022.0
2021-09-13,GOOGL,2846.65,2859.0,2825.0,2838.99,1104692.0
2021-09-13,FB,376.51,381.75,374.3451,381.68,13026275.0
2021-09-13,PFE,44.192,45.431,43.815,45.342,37411763.0
2021-09-13,BNTX,327.14,351.91,322.47,348.1908,3963817.0
2021-09-14,AMZN,3450.0,3486.806,3437.7104,3475.55,1936897.0
2021-09-14,GOOGL,2850.89,2867.26,2835.0,2859.905,983693.0
2021-09-14,FB,376.53,378.59,375.11,377.4,8711569.0
2021-09-14,PFE,44.321,44.866,44.157,44.281,24311765.0
2021-09-14,BNTX,334.88,345.92,326.03,326.17,2850043.0
2021-09-15,AMZN,3475.79,3485.42,3402.01,3442.52,2957537.0
2021-09-15,GOOGL,2888.59,2889.01,2826.95,2855.43,1370379.0
2021-09-15,FB,373.92,377.555,367.67,377.0,17940297.0
2021-09-15,PFE,44.38,44.97,44.083,44.172,28926330.0
2021-09-15,BNTX,355.25,357.76,337.5,338.11,4545812.0
2021-09-16,AMZN,3488.24,3492.55,3446.1432,3459.96,2583598.0
2021-09-16,GOOGL,2872.2,2886.0,2848.03,2879.01,1309771.0
2021-09-16,FB,373.06,373.56,369.71,372.79,11934217.0
2021-09-16,PFE,44.083,44.599,43.647,44.489,22621005.0
2021-09-16,BNTX,372.65,374.85,345.0,350.39,4606777.0
2021-09-17,AMZN,3462.52,3497.41,3452.13,3488.4146,4616556.0
2021-09-17,GOOGL,2816.0,2869.0,2809.395,2860.61,2669223.0
2021-09-17,FB,364.72,371.41,361.59,371.0,26298966.0
2021-09-17,PFE,43.508,44.073,42.933,43.786,56915938.0
2021-09-17,BNTX,359.18,370.8,344.81,370.74,5646240.0
2021-09-20,AMZN,3355.73,3419.0,3305.01,3396.0,4669130.0
2021-09-20,GOOGL,2774.39,2780.0,2726.435,2763.23,2325902.0
2021-09-20,FB,355.7,361.03,349.8,359.3,19822772.0
2021-09-20,PFE,43.815,44.261,43.012,43.012,42240570.0
2021-09-20,BNTX,339.01,353.64,333.36,341.205,3322067.0
2021-09-21,AMZN,3343.63,3379.7,3332.39,3375.0,2780878.0
2021-09-21,GOOGL,2780.66,2800.23,2765.56,2794.99,1266595.0
2021-09-21,FB,357.48,360.04,355.19,358.5,11751917.0
2021-09-21,PFE,43.538,44.341,43.468,43.865,23853152.0
2021-09-21,BNTX,341.35,349.93,337.04,344.77,2455420.0
2021-09-22,AMZN,3380.05,3389.0,3341.05,3351.0,2411403.0
2021-09-22,GOOGL,2805.67,2817.74,2771.03,2786.08,1252778.0
2021-09-22,FB,343.21,349.84,340.6901,347.23,43692859.0
2021-09-22,PFE,43.568,44.004,43.449,43.607,22815269.0
2021-09-22,BNTX,339.26,344.57,336.69,342.8028,1480023.0
2021-09-23,AMZN,3416.0,3428.96,3380.05,3380.05,2379414.0
2021-09-23,GOOGL,2824.32,2833.93,2808.03,2819.75,1047550.0
2021-09-23,FB,345.96,349.67,343.0,345.355,21806264.0
2021-09-23,PFE,43.805,44.33,43.766,43.895,19892258.0
2021-09-23,BNTX,352.99,360.0,341.44,343.0,2824358.0
2021-09-24,AMZN,3425.52,3429.26,3393.4,3402.01,2116241.0
2021-09-24,GOOGL,2844.3,2846.605,2804.82,2810.77,1149195.0
2021-09-24,FB,352.96,354.35,342.37,343.2387,18801933.0
2021-09-24,PFE,43.558,44.024,43.429,43.687,16292515.0
2021-09-24,BNTX,333.48,350.92,332.4,350.0,2603105.0
2021-09-27,AMZN,3405.8,3415.57,3339.61,3371.5,3634450.0
2021-09-27,GOOGL,2821.44,2838.7699,2801.35,2816.0853,1094098.0
2021-09-27,FB,353.58,355.15,347.08,349.805,15205843.0
2021-09-27,PFE,43.191,43.746,43.131,43.538,20131071.0
2021-09-27,BNTX,307.09,338.5,305.51,335.3614,4089349.0
2021-09-28,AMZN,3315.96,3369.19,3290.1001,3357.71,4430819.0
2021-09-28,GOOGL,2716.6,2781.93,2707.2,2773.1,2288610.0
